Name of College	Type	SM (State merit)	EZ (Ezhava)	MU (Muslim)	LA (Latin Catholic and Anglo Indian)	BH (Other Backward Hindu)	DV (Dheevara and related communities)	VK (vishwakarma and related communities)	BX (Other backward X'ian)	KN (Kusavan related communities)	KU (Kudumi)	SC (Scheduled caste)	ST (Scheduled tribe)	EW (Economically Weaker Section)	Special Categories	Course
KVM College of Engineering and Information Technology, Alappuzha	S	49683	-	-	-	-	-	-	-	-	-	-	-	-		CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
Musaliar College of Engineering and Technology, Pathanamthitta	S	50592	-	-	-	-	-	-	-	-	-	-	-	-		CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
M E A Engineering College, Vengoor	S	24996	45449	26939	-	-	-	35512	-	-	-	-	-	-		CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
Nehru College of Engineering and Research Centre, Thrissur	S	35465	42509	42832	-	36743	-	-	-	-	-	51620	-	45334	FW:16710	CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
Rajadhani Institute of Engineering and Technology, Thiruvananthapuram	S	37133	43424	48582	-	-	38142	-	-	-	-	-	-	48948	FW:23023	CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
Sree Buddha College of Engineering, Alappuzha	S	35178	41067	44502	-	-	-	-	-	-	-	-	-	50878	FW:17399	CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
St Thomas Colllege of Engineering and Technology, Alappuzha	S	45401	46868	47842	-	-	-	-	-	-	-	-	-	49944		CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
VISAT Engineering College, Ernakulam	S	47978	52338	48882	49000	-	-	-	-	-	-	-	-	-	FW:33523	CL:Computer Science & Engg. (Artificial Intelligence & Machine Learning)
Mar Athanasius College of Engineering, Kothamangalam	G	3588	3898	4046	4363	4613	7940	4595	26484	-	-	21664	-	-		CO:Computer Science & Engineering (Data Science)
College of Engineering, Adoor	N	21469	24865	23519	30836	21998	-	26252	-	-	-	44515	-	22297	FW:18351, MG:36262	CO:Computer Science & Engineering (Data Science)
Adi Shankara Institute of Engineering and Technology, Ernakulam	S	20966	21397	21920	28411	22147	31317	23786	-	-	-	39488	-	21486	FW:18039	CO:Computer Science & Engineering (Data Science)
Bishop Jerome Institute, Kollam	S	39473	44722	40930	40006	-	-	-	-	-	-	-	-	-	FW:34885	CO:Computer Science & Engineering (Data Science)
Christ College of Engineering, Thrissur	S	15782	15956	21018	33539	32232	-	-	-	-	-	22587	-	-		CO:Computer Science & Engineering (Data Science)
College of Engineering and Technology, Payyanur	S	48562	49051	49448	-	49136	-	-	-	-	-	-	-	-	FW:38599	CO:Computer Science & Engineering (Data Science)
ICCS College of Engineering and Management, Thrissur	S	39184	-	-	-	-	-	-	-	-	-	-	-	-		CO:Computer Science & Engineering (Data Science)
Holy Grace Academy of Engineering, Thrissur	S	44318	-	-	-	-	-	-	-	-	-	-	-	-		CO:Computer Science & Engineering (Data Science)
I E S College of Engineering, Thrissur	S	51887	-	-	-	-	-	-	-	-	-	-	-	-		CO:Computer Science & Engineering (Data Science)
Jawaharlal College of Engineering and Technology, Palakkad	S	34562	42235	41918	46146	39044	-	-	-	-	-	45234	-	46636	FW:25963	CO:Computer Science & Engineering (Data Science)
Mar Baselios Institute of Technology and Science, Ernakulam	S	36271	45581	38335	-	37389	47015	50263	-	-	-	51550	-	-	FW:16471	CO:Computer Science & Engineering (Data Science)
SCMS School of Engineering and Technology, Ernakulam	S	19707	21041	19846	28456	21875	-	-	-	-	-	37009	-	31924	FW:16003	CO:Computer Science & Engineering (Data Science)
Sree Narayana Institute of Technology, Adoor	S	50713	-	-	-	-	-	-	-	-	-	-	-	-		CO:Computer Science & Engineering (Data Science)
St. Thomas Institute For Science and Technology, Thiruvananthapuram	S	43667	-	-	-	-	-	-	-	-	-	-	-	-	FW:13570	CO:Computer Science & Engineering (Data Science)
St.Thomas College of Engineering and Technology,Kannur	S	43147	48052	45297	-	45439	-	-	-	-	-	-	-	-	FW:32353	CO:Computer Science & Engineering (Data Science)
UKF College of Engineering and Technology, Kollam	S	46774	47628	50529	-	50485	-	-	-	-	-	51290	-	-		CO:Computer Science & Engineering (Data Science)
VISAT Engineering College, Ernakulam	S	50572	-	-	-	-	-	-	-	-	-	51270	-	-		CO:Computer Science & Engineering (Data Science)
Mahaguru Institute of Technology, Mavelikkara, Alappuzha	S	49604	-	-	-	-	-	-	-	-	-	-	-	-		CO:Computer Science & Engineering (Data Science)
Government Engineering College, Idukki	G	2271	10277	6452	21810	10622	30791	5490	22813	24062	28663	32689	49286	13697	CC:30, FW:5470	CS:Computer Science & Engineering
Government College of Engineering, Kannur	G	2503	3715	3709	7059	3700	11648	3217	3085	-	-	20938	26941	6430	CC:16, FW:2143, PT:4	CS:Computer Science & Engineering
Government Rajiv Gandhi Institute of Technology, Kottayam	G	1988	2298	2231	3720	2778	7474	2156	3539	6647	13573	13506	41110	3540	CC:13, FW:1759, PD:45222	CS:Computer Science & Engineering
Mar Athanasius College of Engineering, Kothamangalam	G	1593	2003	1665	3483	1875	7057	1620	4400	8533	-	14460	44554	-	CC:9, FW:1420, PD:16705	CS:Computer Science & Engineering
N S S College of Engineering, Palakkad	G	2504	3118	3105	6457	3121	12510	3032	8096	12725	14663	16565	48456	4403	FW:2099, XS:2873	CS:Computer Science & Engineering
Government Engineering College, Palakkad	G	2371	5250	4188	7839	5261	11270	5111	7729	11499	19310	19912	43409	5648	FW:3079, SD:5547	CS:Computer Science & Engineering
Government Engineering College, Thrissur	G	712	889	941	1881	925	3512	1761	-	-	-	7682	22343	1376	CC:7, FW:721, PD:47823	CS:Computer Science & Engineering
T K M College of Engineering, Kollam	G	1196	1800	1431	3403	1649	4925	1789	2282	5817	11051	10701	25305	-	CC:5, FW:1011, PD:48991, RP:1651	CS:Computer Science & Engineering
College of Engineering, Thiruvananthapuram	G	342	627	637	1209	536	2009	650	1511	652	513	4598	10717	874	CC:4, FW:278, PD:49840	CS:Computer Science & Engineering
Government Engineering College, Wayanad	G	-	10344	5911	18860	12490	17350	5537	28670	-	34785	38425	48502	14163	FW:4385, PI:29	CS:Computer Science & Engineering
College of Engineering, Adoor	N	13491	14597	15700	22929	19422	30494	14581	17852	-	26088	44694	-	18786	FW:9744, MG:25113	CS:Computer Science & Engineering
College of Engineering of Aranmula, Pathanamthitta	N	30658	32828	35131	46855	33945	50905	32657	34438	-	-	50388	-	39115	FW:22620	CS:Computer Science & Engineering
College of Engineering, Attingal	N	19093	21695	20838	29035	22094	41917	24179	25662	31699	-	50316	-	24878	FW:12924, MG:30390	CS:Computer Science & Engineering
College of Engineering, Cherthala	N	17005	18578	19649	17623	21461	24805	17259	-	-	19527	45206	-	24303	FW:9520, MG:32880	CS:Computer Science & Engineering
College of Engineering,Kottarakkara, Kollam	N	29704	32764	33061	41734	34568	43831	32397	-	-	38733	52390	-	37446	MG:43258	CS:Computer Science & Engineering
College of Engineering Muttathara, Thiruvananthapuram	N	21116	24020	23569	26986	22267	42844	26912	21370	49079	-	38812	44685	25619	FW:12684	CS:Computer Science & Engineering
College of Engineering,Chengannoor	N	6722	9410	8548	10514	8231	22721	8531	21341	17631	29159	41422	-	11246	FW:5453, MG:12197	CS:Computer Science & Engineering
College of Engineering Kidangoor, KOTTAYAM	N	19133	21889	22659	31901	19892	40223	20055	33328	42524	41460	49197	-	25558	FW:15265, MG:29840	CS:Computer Science & Engineering
College of Engineering, Karunagappally, Kollam	N	22386	23506	25072	34546	23614	46013	22950	38710	-	-	49539	-	28743	FW:16189, MG:41211	CS:Computer Science & Engineering
LBS College of Engineering, Kasaragod	N	13895	16499	15210	38992	17247	27402	16164	-	36518	37804	51836	49568	19431	FW:8420, MG:33270, PD:47526	CS:Computer Science & Engineering
LBS Institute of Technology for Women, Thiruvananthapuram	N	9335	11763	11753	16444	10219	31009	11558	9657	26030	-	48364	-	14146	FW:8238, MG:17844	CS:Computer Science & Engineering
Model Engineering College, Ernakulam	N	1091	1604	1764	2822	1751	4893	2515	2912	2498	10857	14067	11768	2307	FW:1290, MG:2447, PD:32170	CS:Computer Science & Engineering
College of Engineering, Munnar	N	19940	22764	23150	-	-	51659	30670	-	-	-	52011	52429	30341	FW:15991, MG:41241	CS:Computer Science & Engineering
College of Engineering Pathanapuram, Kollam	N	27132	28533	30128	37482	30586	48665	31483	-	-	44811	49664	47902	36319	FW:20147	CS:Computer Science & Engineering
College of Engineering Poonjar, Kottayam	N	30623	33939	33736	40248	37548	-	35049	-	-	-	52334	-	43736	FW:20846, MG:43371	CS:Computer Science & Engineering
College of Engineering Perumon, Kollam	N	13698	16574	14550	22882	18311	31059	15122	34434	44372	41399	44319	-	20114	FW:11035, MG:23509	CS:Computer Science & Engineering
College of Engineering and Management Punnnapra	N	34670	37002	37496	47019	40081	-	40522	51425	-	45514	52494	-	49695	FW:21340	CS:Computer Science & Engineering
College of Engineering, Kallooppara, Thiruvalla	N	18953	21705	24547	31536	21300	-	21065	-	44644	-	51093	-	22785	FW:15446, MG:34129	CS:Computer Science & Engineering
S C T College of Engineering, Thiruvananthapuram	N	3660	4641	4067	7140	4500	19040	4290	-	13653	-	22074	-	6677	FW:3800, MG:5782	CS:Computer Science & Engineering
College of Engineering, Trikaripur	N	18043	21639	19807	49932	18488	35481	26944	-	-	-	52085	43744	22381	FW:14078, MG:31715	CS:Computer Science & Engineering
College of Engineering,Thalassery, Kannur	N	13497	14965	13882	39183	15094	33916	14203	37915	-	-	47441	-	23162	FW:8453, MG:19434	CS:Computer Science & Engineering
Institute of Engineering and Technology, Malappuram	N	27289	31485	29041	49099	34771	44920	40451	-	-	-	51211	-	48087	FW:17486	CS:Computer Science & Engineering
University College of Engineering,Thodupuzha	N	28143	33391	31893	30719	30746	41979	31752	28301	41632	48752	48318	46352	33433	FW:13924	CS:Computer Science & Engineering
University College of Engineering, Kariavattom, Thiruvananthapuram	N	15006	18863	17087	27062	19490	38817	19456	22945	18124	51289	43138	-	22393	FW:10033, MG:22892	CS:Computer Science & Engineering
College of Engineering, Vadakara	N	14876	16947	15414	42500	17070	-	-	-	-	-	50415	-	27526	FW:10494, MG:26381	CS:Computer Science & Engineering
Al-Azhar College of Engineering and Technology, Idukki	S	50530	-	51986	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Al-Ameen Engineering College, Palakkad	S	47383	-	50195	-	-	-	-	-	-	-	49441	-	-	FW:23648	CS:Computer Science & Engineering
Albertian Institute of Science and Technology, Kochi	S	26138	35330	28900	28853	30424	40005	-	-	-	-	45299	-	-	FW:20833	CS:Computer Science & Engineering
Amal Jyothi College of Engineering, Kottayam	S	16854	24583	23899	33001	22327	34058	18444	32752	34092	-	52090	-	-	FW:12415	CS:Computer Science & Engineering
Rajadhani Institute of Science and Technology, Palakkad	S	50180	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Adi Shankara Institute of Engineering and Technology, Ernakulam	S	15941	19708	18776	25024	19521	24250	17275	48946	26116	25196	51656	-	23439	FW:11315	CS:Computer Science & Engineering
Ahalia School of Engineering and Technology, Palakkad	S	30244	34038	39027	-	36278	-	36482	-	-	-	51570	-	45361	FW:17260	CS:Computer Science & Engineering
AWH Engineering College, Kozhikkode	S	32855	41130	33804	-	-	-	50849	-	-	-	50650	-	-	FW:22928	CS:Computer Science & Engineering
Bishop Jerome Institute, Kollam	S	31263	36757	34944	36171	37473	-	-	-	-	-	50022	-	-	FW:20157	CS:Computer Science & Engineering
Baselios Mathews II College of Engineering, Kollam	S	48210	50679	51649	-	-	-	48463	-	-	-	51764	-	-	FW:32017	CS:Computer Science & Engineering
Christ College of Engineering, Thrissur	S	10953	13701	12806	17668	12663	17993	11185	29131	18785	47139	45747	-	-	FW:7854	CS:Computer Science & Engineering
MGM College of Engineering and Pharmaceutical Sciences, Valanchery	S	51566	-	-	-	-	-	-	-	-	-	-	-	-	FW:34403	CS:Computer Science & Engineering
Christ Knowledge City, Ernakulam	S	34020	40168	38254	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Carmel College of Engineering and Technology,Alappuzha	S	29836	40707	36711	39759	35718	-	35743	34127	-	-	-	-	-	FW:18759	CS:Computer Science & Engineering
M. Dasan Institute of Technology, Kozhikode	S	36049	37914	40712	-	44665	-	-	-	-	-	51869	-	52339	FW:27756	CS:Computer Science & Engineering
ICCS College of Engineering and Management, Thrissur	S	51252	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Eranad Knowledge City Technical Campus, Malappuram	S	41193	48171	41910	-	-	-	48157	-	-	-	-	-	-	FW:27392	CS:Computer Science & Engineering
Federal Institute of Science and Technology, Ernakulam	S	7112	8745	8504	12602	8764	13851	11052	14102	24150	17447	42997	-	13138	FW:6277	CS:Computer Science & Engineering
Gregorian Institute of Technology,Kanjirampara,Kott ayam	S	51223	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Heera College of Engineering and Technology, Thiruvananthapuram	S	51945	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Holy Grace Academy of Engineering, Thrissur	S	41446	47782	49682	-	-	-	-	-	-	51049	-	-	-		CS:Computer Science & Engineering
Ilahia College of Engineering and Technology, Ernakulam	S	37544	51586	38408	-	49563	-	37840	-	-	-	-	50759	-	FW:26576	CS:Computer Science & Engineering
I E S College of Engineering, Thrissur	S	36187	39179	38899	-	-	-	39745	-	41040	-	50332	-	-	FW:25632	CS:Computer Science & Engineering
Indira Gandhi Institute of Engineering and Technology, Ernakulam	S	44952	50863	50238	48016	-	-	47555	-	-	-	-	-	-	FW:26334	CS:Computer Science & Engineering
Jai Bharath College of Management and Engineering Technology, Ernakulam	S	48288	50539	50337	-	50406	51485	-	-	-	-	-	-	-	FW:26136	CS:Computer Science & Engineering
Jawaharlal College of Engineering and Technology, Palakkad	S	26462	34657	29978	-	27727	-	35193	-	-	-	32589	-	41304	FW:16798	CS:Computer Science & Engineering
Jyothi Engineering College, Thrissur	S	19796	24090	23826	48325	24601	48567	25116	-	-	40601	52224	-	-	FW:13779	CS:Computer Science & Engineering
John Cox Memorial C S I Institute of Technology, Thiruvananthapuram	S	45275	50822	51640	47746	-	-	-	-	-	-	52395	-	-	FW:35798	CS:Computer Science & Engineering
Kottayam Institute of Technology and Science, Kottayam	S	49208	-	-	-	-	-	-	-	-	-	-	-	-	FW:48951	CS:Computer Science & Engineering
KMCT College of Engineering, Kozhikode	S	26253	33782	26723	-	34637	-	-	-	-	-	-	-	-	FW:19123	CS:Computer Science & Engineering
K M E A Engineering College, Cochin	S	32892	42994	36731	50632	46552	-	41551	-	-	-	50229	-	-	FW:22584	CS:Computer Science & Engineering
KMCT Institute of Technology and Management,Kuttipuram,Mala ppuram	S	43448	51074	47341	-	-	-	46845	-	-	-	-	-	-	XS:48315	CS:Computer Science & Engineering
KMCT Institute of Emerging Technology and Management, Mukkam, Kozhikode	S	33886	41658	35180	-	37781	-	44789	-	-	-	-	-	50933	FW:20618	CS:Computer Science & Engineering
KMCT College of Engineering for Women, Kozhikode	S	36676	46661	41005	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
KVM College of Engineering and Information Technology, Alappuzha	S	50587	-	-	-	-	-	-	-	-	-	-	-	-	FW:44997	CS:Computer Science & Engineering
Lourdes Matha College of Science and Technology, Thiruvananthapuram	S	45716	51581	50943	46462	46516	-	-	47701	-	-	50986	-	-	FW:32585	CS:Computer Science & Engineering
Mar Baselios Christian College of Engineering and Technology,Idukki	S	35770	47497	48220	-	-	-	45653	52226	-	-	49094	-	-	FW:20222	CS:Computer Science & Engineering
Mar Baselios Institute of Technology and Science, Ernakulam	S	29380	34790	32221	40899	33371	51521	35376	43285	-	-	-	-	-	FW:22151	CS:Computer Science & Engineering
Mar Baselios College of Engineering and Technology, Thiruvananthapuram	S	9219	14192	13259	10195	11487	20998	14456	11718	-	-	50021	-	-	FW:8692	CS:Computer Science & Engineering
Musaliar College Of Engineering, Thiruvananthapuram	S	52312	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Marian Engineering College, Thiruvananthapuram	S	21527	26184	24349	27297	22188	47151	27781	-	38369	-	52345	-	-	FW:16566, RP:30311	CS:Computer Science & Engineering
Musaliar College of Engineering and Technology, Pathanamthitta	S	49243	-	49367	-	-	-	-	-	-	-	-	-	-	FW:35493	CS:Computer Science & Engineering
Mohandas College of Engineering and Technology, Thiruvananthapuram	S	42342	50349	50663	49001	51355	-	45739	48352	-	-	-	-	49246	FW:30980	CS:Computer Science & Engineering
M E A Engineering College, Vengoor	S	20201	28990	21225	-	32512	-	-	-	-	-	-	-	-	FW:10128	CS:Computer Science & Engineering
Malabar College of Engineering and Technology, Thrissur	S	48077	50798	50827	-	50250	-	-	-	-	-	52298	-	-	FW:35226	CS:Computer Science & Engineering
MES College of Engineering and Technology, Ernakulam	S	36316	43433	38461	37231	47700	-	46422	-	-	-	51935	-	37825	FW:25747	CS:Computer Science & Engineering
MES Institute of Technology and Management, Kollam	S	49446	-	50532	-	-	-	-	-	-	-	-	-	50200	FW:23611	CS:Computer Science & Engineering
M E S College of Engineering, Kuttippuram	S	17582	22979	18743	50591	22544	38162	30697	-	44520	-	52315	-	-	FW:10773, SD:47024	CS:Computer Science & Engineering
Mets School of Engineering, Thrissur	S	45968	49475	48290	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
M G College of Engineering, Thiruvananthapuram	S	43498	50499	44279	44154	-	-	47947	-	-	-	52203	-	-		CS:Computer Science & Engineering
MGM College of Engineering & Technology, Ernakulam	S	48645	-	50073	-	-	-	-	-	-	-	-	-	50648	FW:41000	CS:Computer Science & Engineering
Saintgits College of Engineering, Kottayam	S	11362	14044	14353	13578	11689	17164	16166	16152	-	31661	48297	-	-	FW:11155	CS:Computer Science & Engineering
ACE College Of Engineering, Thiruvananthapuram	S	31087	46079	34423	36489	36686	-	-	-	-	-	48026	-	-	FW:24083	CS:Computer Science & Engineering
Mangalam College of Engineering, Kottayam	S	42648	50907	50046	49605	43953	50253	-	51946	-	-	52270	-	-	FW:32057	CS:Computer Science & Engineering
Malabar Institute of Technology, Kannur	S	49062	51558	-	-	-	-	-	-	-	-	-	-	-	FW:28992	CS:Computer Science & Engineering
Muslim Association College of Engineering, Thiruvananthapuram	S	52306	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Muthoot Institute of Technology and Science,Ernakulam	S	5199	7213	7069	8880	6063	11950	9511	8421	12921	13900	38844	50449	11983	FW:4146	CS:Computer Science & Engineering
Mount Zion College of Engineering, Pathanamthitta	S	51344	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Nehru College of Engineering and Research Centre, Thrissur	S	29420	35923	33458	-	31737	52036	34787	-	52217	-	52391	-	47525	FW:20856	CS:Computer Science & Engineering
Nirmala College of Engineering Technology and Management, Thirissur	S	46043	51075	51481	-	-	49812	-	-	-	-	48114	-	-	FW:29356	CS:Computer Science & Engineering
P A Aziz College of Engineering and Technology, Thiruvananthapuram	S	52177	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Providence College of Engineering, Chengannur	S	38227	45066	50387	-	-	-	40557	-	-	-	-	-	48042	FW:26735	CS:Computer Science & Engineering
Royal College of Engineering and Technology, Thrissur	S	48307	48438	51395	-	-	51069	-	-	-	-	51365	-	-	FW:18047	CS:Computer Science & Engineering
Rajagiri School of Engineering and Technology, Ernakulam	S	4565	5927	6119	5184	6043	11421	7998	-	13260	18535	30258	-	-	FW:4234	CS:Computer Science & Engineering
Rajadhani Institute of Engineering and Technology, Thiruvananthapuram	S	36112	38711	45435	47863	42836	-	39291	-	46144	-	49893	-	47092	FW:26712	CS:Computer Science & Engineering
Sree Buddha College of Engineering, Alappuzha	S	30624	36562	37600	32488	39497	39162	33192	37692	-	-	51560	-	41014	FW:22545	CS:Computer Science & Engineering
SCMS School of Engineering and Technology, Ernakulam	S	15233	17420	17540	25258	17367	32544	20524	28946	19728	36678	52355	-	26063	FW:12498	CS:Computer Science & Engineering
Sahrdaya College of Engineering and Technology, Thrissur	S	19956	24885	26546	27978	28056	38517	28043	-	-	-	38902	-	-	FW:15611	CS:Computer Science & Engineering
Sarabhai Institute of Science and Technology, Thiruvananthapuram	S	52319	-	-	-	-	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
St Josephs College of Engineering and Technology, Palai	S	15831	20970	19172	38285	19835	40449	16541	-	-	-	50665	-	-	FW:13216	CS:Computer Science & Engineering
Sree Narayana Guru College of Engineering and Technology, Kannur	S	35877	39612	40056	-	37442	43532	46751	-	-	-	-	-	-	FW:19262, SD:47973	CS:Computer Science & Engineering
Sree Narayana Gurukulam College of Engineering, Ernakulam	S	27804	34578	35402	32944	30261	46707	38562	-	-	-	51546	-	43989	FW:21446	CS:Computer Science & Engineering
SNM Institute of Management and Technology, Ernakulam	S	42491	45952	48643	-	-	50029	-	-	-	-	-	-	47869	FW:29523	CS:Computer Science & Engineering
Sree Narayana Institute of Technology, Adoor	S	49016	-	-	-	-	-	-	-	-	-	51634	-	50690		CS:Computer Science & Engineering
Sreepathy Institute of Management and Technology, Palakkad	S	46949	51960	50120	-	47967	-	-	-	-	-	51528	-	-	FW:26202	CS:Computer Science & Engineering
St Thomas Colllege of Engineering and Technology, Alappuzha	S	47380	51796	-	-	-	-	-	-	-	-	-	-	48710	FW:28434	CS:Computer Science & Engineering
St. Thomas Institute For Science and Technology, Thiruvananthapuram	S	44820	50803	50344	-	48552	-	48175	-	-	-	49012	-	-	FW:31818	CS:Computer Science & Engineering
St.Thomas College of Engineering and Technology,Kannur	S	32733	34452	38586	-	38361	-	-	-	-	-	-	-	-	FW:23365	CS:Computer Science & Engineering
TOMS College of Engineering,Kottayam	S	50543	-	-	-	-	-	-	-	-	-	-	-	-	FW:46215	CS:Computer Science & Engineering
Travancore Engineering College, Kollam	S	45651	-	50210	-	-	-	-	-	-	-	-	-	46830		CS:Computer Science & Engineering
Thejus Engineering College, Thrissur	S	43155	52250	48642	-	47725	50480	-	-	-	-	-	-	-	FW:26307	CS:Computer Science & Engineering
T K M Institute of Technology, Kollam	S	22455	29136	24115	35050	29412	47907	24938	-	-	49256	51440	-	-	FW:12462	CS:Computer Science & Engineering
Toc H Institute of Science and Technology, Ernakulam	S	18126	22842	21262	21292	18551	25575	26317	45792	50832	40591	-	-	32482	FW:13267	CS:Computer Science & Engineering
UKF College of Engineering and Technology, Kollam	S	41391	48368	46518	41882	48765	-	41468	-	-	-	52308	-	-	FW:24288	CS:Computer Science & Engineering
Universal Engineering College, Thrissur	S	38339	40679	43191	52023	48532	47332	41849	-	-	-	51492	-	39627	FW:25295	CS:Computer Science & Engineering
Vidya Academy of Science and Technology, Thiruvananthapuram	S	41065	44940	47488	-	44394	-	51166	-	-	-	51721	-	50302	FW:18938	CS:Computer Science & Engineering
Vidya Academy of Science and Technology, Thrissur	S	20403	24156	24675	49418	21977	48728	21909	-	-	-	51715	-	26055	FW:13545	CS:Computer Science & Engineering
VISAT Engineering College, Ernakulam	S	33205	36081	37255	43088	41168	-	-	-	-	-	-	-	-		CS:Computer Science & Engineering
Viswajyothi College of Engineering and Technology, Ernakulam	S	16412	19747	20817	40144	18064	46996	17268	31588	-	-	52444	47427	-	FW:13325	CS:Computer Science & Engineering
Valia Koonambaikulathamma College of Engineering and Technology, Parippally	S	46044	47984	49867	-	48861	-	-	-	-	-	-	-	50649	FW:23297	CS:Computer Science & Engineering
Vimal Jyothi Engineering College, Kannur	S	25527	31539	33117	34212	27820	46014	29053	-	25723	-	48027	-	-	FW:18988	CS:Computer Science & Engineering
Mahaguru Institute of Technology, Mavelikkara, Alappuzha	S	49721	-	-	-	-	-	-	-	-	-	-	-	-	FW:38597	CS:Computer Science & Engineering
Veda Vyasa Institute of Technology, Malappuram.	S	52014	-	-	-	-	-	-	-	-	-	-	-	-	FW:38745	CS:Computer Science & Engineering
Younus College of Engineering and Technology, Kollam	S	47359	-	51819	-	-	-	47627	-	-	-	52336	-	-	FW:37691	CS:Computer Science & Engineering
Adi Shankara Institute of Engineering and Technology, Ernakulam	S	18797	21894	21368	23155	20346	32108	21936	-	-	-	52478	-	24676	FW:17056	CT:Computer Science & Engineering (Artificial Intelligence)
Bishop Jerome Institute, Kollam	S	32216	35999	39199	38389	52477	-	-	-	-	-	52117	-	-		CT:Computer Science & Engineering (Artificial Intelligence)
Lourdes Matha College of Science and Technology, Thiruvananthapuram	S	40477	42179	45245	-	43206	-	-	-	-	-	50339	-	-		CT:Computer Science & Engineering (Artificial Intelligence)
Mar Baselios Christian College of Engineering and Technology,Idukki	S	37877	45848	49340	-	-	-	-	-	-	-	-	-	-	FW:26933	CT:Computer Science & Engineering (Artificial Intelligence)
Mar Baselios College of Engineering and Technology, Thiruvananthapuram	S	11756	14812	15080	16225	13940	23322	24815	-	-	-	49227	-	-	FW:11919	CT:Computer Science & Engineering (Artificial Intelligence)
MES Institute of Technology and Management, Kollam	S	43262	46492	49187	-	49691	-	-	-	-	-	-	-	-		CT:Computer Science & Engineering (Artificial Intelligence)
Malabar Institute of Technology, Kannur	S	51032	52245	52384	-	-	-	-	-	-	-	-	-	-		CT:Computer Science & Engineering (Artificial Intelligence)
